date,EU_10Y_YIELD
1990-01-01,10.41
1990-02-01,10.88
1990-03-01,11.0
1990-04-01,10.86
1990-05-01,10.78
1990-06-01,10.73
1990-07-01,10.59
1990-08-01,10.98
1990-09-01,11.16
1990-10-01,11.1
1990-11-01,11.0
1990-12-01,9.31
1991-01-01,9.32
1991-02-01,8.75
1991-03-01,9.98
1991-04-01,9.83
1991-05-01,9.73
1991-06-01,9.82
1991-07-01,9.99
1991-08-01,10.01
1991-09-01,9.79
1991-10-01,9.67
1991-11-01,9.93
1991-12-01,9.9
1992-01-01,9.59
1992-02-01,9.53
1992-03-01,9.59
1992-04-01,9.66
1992-05-01,9.61
1992-06-01,9.83
1992-07-01,10.06
1992-08-01,10.16
1992-09-01,10.1
1992-10-01,9.99
1992-11-01,9.62
1992-12-01,9.62
1993-01-01,9.31
1993-02-01,9.02
1993-03-01,8.75
1993-04-01,8.77
1993-05-01,8.66
1993-06-01,8.34
1993-07-01,8.11
1993-08-01,7.56
1993-09-01,7.33
1993-10-01,7.06
1993-11-01,7.1
1993-12-01,6.86
1994-01-01,6.7
1994-02-01,6.89
1994-03-01,7.37
1994-04-01,7.49
1994-05-01,7.78
1994-06-01,8.4
1994-07-01,8.42
1994-08-01,8.71
1994-09-01,9.16
1994-10-01,9.19
1994-11-01,9.15
1994-12-01,9.18
1995-01-01,9.38
1995-02-01,9.23
1995-03-01,9.47
1995-04-01,9.3
1995-05-01,8.82
1995-06-01,8.79
1995-07-01,8.75
1995-08-01,8.51
1995-09-01,8.4
1995-10-01,8.52
1995-11-01,8.19
1995-12-01,7.85
1996-01-01,7.47
1996-02-01,7.69
1996-03-01,7.86
1996-04-01,7.64
1996-05-01,7.5
1996-06-01,7.54
1996-07-01,7.41
1996-08-01,7.34
1996-09-01,7.15
1996-10-01,6.7
1996-11-01,6.44
1996-12-01,6.32
1997-01-01,6.24
1997-02-01,6.07
1997-03-01,6.33
1997-04-01,6.39
1997-05-01,6.19
1997-06-01,6.09
1997-07-01,5.84
1997-08-01,5.95
1997-09-01,5.81
1997-10-01,5.77
1997-11-01,5.75
1997-12-01,5.47
1998-01-01,5.23
1998-02-01,5.13
1998-03-01,5.01
1998-04-01,5.0
1998-05-01,5.06
1998-06-01,4.92
1998-07-01,4.82
1998-08-01,4.59
1998-09-01,4.28
1998-10-01,4.25
1998-11-01,4.25
1998-12-01,3.96
1999-01-01,3.81
1999-02-01,3.95
1999-03-01,4.16
1999-04-01,3.99
1999-05-01,4.17
1999-06-01,4.5
1999-07-01,4.83
1999-08-01,5.04
1999-09-01,5.2
1999-10-01,5.44
1999-11-01,5.17
1999-12-01,5.28
2000-01-01,5.67
2000-02-01,5.64
2000-03-01,5.47
2000-04-01,5.36
2000-05-01,5.53
2000-06-01,5.36
2000-07-01,5.44
2000-08-01,5.4
2000-09-01,5.45
2000-10-01,5.4
2000-11-01,5.34
2000-12-01,5.09
2001-01-01,4.99
2001-02-01,4.99
2001-03-01,4.9
2001-04-01,5.06
2001-05-01,5.26
2001-06-01,5.2
2001-07-01,5.22
2001-08-01,5.02
2001-09-01,5.01
2001-10-01,4.78
2001-11-01,4.63
2001-12-01,4.9
2002-01-01,4.99
2002-02-01,5.05
2002-03-01,5.29
2002-04-01,5.28
2002-05-01,5.3
2002-06-01,5.15
2002-07-01,5.0
2002-08-01,4.72
2002-09-01,4.51
2002-10-01,4.6
2002-11-01,4.58
2002-12-01,4.41
2003-01-01,4.25
2003-02-01,4.03
2003-03-01,4.08
2003-04-01,4.22
2003-05-01,3.9
2003-06-01,3.7
2003-07-01,4.03
2003-08-01,4.19
2003-09-01,4.23
2003-10-01,4.28
2003-11-01,4.41
2003-12-01,4.35
2004-01-01,4.22
2004-02-01,4.18
2004-03-01,4.0
2004-04-01,4.19
2004-05-01,4.35
2004-06-01,4.41
2004-07-01,4.31
2004-08-01,4.15
2004-09-01,4.1
2004-10-01,3.98
2004-11-01,3.86
2004-12-01,3.65
2005-01-01,3.6
2005-02-01,3.59
2005-03-01,3.74
2005-04-01,3.54
2005-05-01,3.38
2005-06-01,3.22
2005-07-01,3.28
2005-08-01,3.3
2005-09-01,3.14
2005-10-01,3.3
2005-11-01,3.51
2005-12-01,3.4
2006-01-01,3.38
2006-02-01,3.53
2006-03-01,3.72
2006-04-01,3.98
2006-05-01,4.04
2006-06-01,4.05
2006-07-01,4.08
2006-08-01,3.95
2006-09-01,3.83
2006-10-01,3.86
2006-11-01,3.79
2006-12-01,3.85
2007-01-01,4.1
2007-02-01,4.12
2007-03-01,4.02
2007-04-01,4.23
2007-05-01,4.36
2007-06-01,4.64
2007-07-01,4.6
2007-08-01,4.42
2007-09-01,4.37
2007-10-01,4.41
2007-11-01,4.25
2007-12-01,4.36
2008-01-01,4.19
2008-02-01,4.13
2008-03-01,4.07
2008-04-01,4.28
2008-05-01,4.43
2008-06-01,4.78
2008-07-01,4.76
2008-08-01,4.48
2008-09-01,4.43
2008-10-01,4.31
2008-11-01,4.1
